Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
80.859375,0.001492,0.001251,0.004543,0.000731,0.021389,0.019089,0.018867,0.021216,0.054672,0.054342,0.054814,0.055333,0.977864,0.97718,1,0.913114
81.25,0.003142,0.001801,0.00436,0.001895,0.025518,0.024547,0.024308,0.025241,0.065452,0.063788,0.067842,0.0657,0.977786,0.977525,1,0.913344
81.640625,0.000731,0.001701,0.004456,0.003278,0.034524,0.034898,0.034977,0.03405,0.07571,0.074854,0.077983,0.076509,0.977466,0.97664,1,0.912
82.03125,0.001862,0.002381,0.005532,0.001157,0.030583,0.028849,0.028684,0.029781,0.067171,0.066831,0.070138,0.068514,0.979068,0.977479,1,0.919097
82.421875,0.006647,0.004442,0.006856,0.000608,0.02992,0.030023,0.030184,0.029443,0.070451,0.070161,0.071286,0.07065,0.979182,0.977111,1,0.918491
82.8125,0.001455,0.00109,0.006756,0.000675,0.035899,0.036199,0.035889,0.035408,0.073506,0.074187,0.07563,0.075608,0.978564,0.977094,1,0.916391
83.203125,0.000957,0.002283,0.008441,0.001483,0.035208,0.032881,0.033075,0.034818,0.075513,0.07493,0.07885,0.078077,0.978386,0.977658,1,0.915883
83.59375,0.000594,0.002605,0.006974,0.003467,0.034157,0.03076,0.030568,0.034044,0.073809,0.074322,0.076318,0.075278,0.977528,0.97707,1,0.913356
83.984375,0.001617,0.003469,0.00718,0.003693,0.03238,0.029515,0.029231,0.032357,0.071171,0.069539,0.072501,0.070037,0.977006,0.976602,1,0.911712
84.375,0.000418,0.004412,0.003254,0.001117,0.021706,0.024792,0.02457,0.021937,0.064991,0.063949,0.066146,0.065971,0.976894,0.976476,1,0.911962
84.765625,0.002421,0.001828,0.008063,0.001571,0.02751,0.031517,0.031381,0.027484,0.064672,0.063238,0.065952,0.065801,0.97771,0.976777,1,0.914122
85.15625,0.000446,0.003485,0.007226,0.002197,0.030549,0.029461,0.029464,0.030122,0.076323,0.075747,0.076506,0.077202,0.978082,0.976717,1,0.914528
85.546875,0.000271,0.001112,0.005012,0.001413,0.031565,0.030972,0.030983,0.031715,0.064025,0.063123,0.064818,0.06382,0.977641,0.976307,1,0.915374
85.9375,0.000839,0.002787,0.00527,0.001704,0.043903,0.043223,0.04356,0.043608,0.090809,0.088402,0.090278,0.090072,0.977303,0.976349,1,0.913779
86.328125,0.001112,0.002856,0.004231,0.001012,0.04496,0.044422,0.044226,0.044998,0.080033,0.079835,0.080461,0.079992,0.977932,0.976007,1,0.916512
86.71875,0.001027,0.002541,0.008747,0.001647,0.031776,0.034402,0.033957,0.031973,0.076915,0.075,0.078078,0.07646,0.977021,0.975533,1,0.911237
87.109375,0.000667,0.004275,0.005297,0.001831,0.032064,0.036524,0.03639,0.032375,0.072749,0.072798,0.073292,0.07256,0.977226,0.976149,1,0.914514
87.5,0.001333,0.002909,0.008368,0.003187,0.043232,0.048189,0.047951,0.043153,0.089539,0.089204,0.090193,0.088394,0.977972,0.97629,1,0.916357
87.890625,0.00001721913,0.006246,0.009261,0.002686,0.042807,0.03984,0.039739,0.042552,0.083908,0.081716,0.082731,0.08234,0.977975,0.975962,1,0.916073
88.28125,0.000847,0.004416,0.011733,0.002628,0.043387,0.047919,0.047775,0.04355,0.095008,0.09292,0.09475,0.094799,0.977703,0.976496,1,0.91842
88.671875,0.000674,0.003202,0.005682,0.001949,0.028942,0.038773,0.038497,0.029301,0.079382,0.07909,0.081367,0.08048,0.977489,0.974757,1,0.916609
89.0625,0.000321,0.00588,0.008223,0.001058,0.034046,0.038727,0.038463,0.03482,0.08495,0.083317,0.084538,0.083939,0.978854,0.976391,1,0.919555
89.453125,0.00058,0.002485,0.006737,0.001983,0.045936,0.055005,0.054824,0.045787,0.088803,0.086683,0.089096,0.087822,0.978121,0.976375,1,0.917796
89.84375,0.001562,0.004827,0.007998,0.00031,0.041544,0.04309,0.043147,0.041961,0.085598,0.084634,0.086344,0.085971,0.977396,0.976514,1,0.916022
90.234375,0.003276,0.002686,0.005658,0.007442,0.037517,0.03173,0.031871,0.037459,0.082407,0.082065,0.083095,0.082978,0.977306,0.975566,1,0.91689
90.625,0.00175,0.003764,0.005321,0.005773,0.045822,0.043502,0.043841,0.045959,0.078211,0.07652,0.077871,0.076949,0.977453,0.975933,1,0.918007
91.015625,0.003035,0.001709,0.005616,0.002478,0.032109,0.033696,0.033852,0.031863,0.071077,0.070686,0.071737,0.070532,0.977911,0.97553,1,0.920493
91.40625,0.003324,0.002532,0.00847,0.003633,0.027358,0.033258,0.032897,0.027675,0.074276,0.074145,0.075382,0.07395,0.977837,0.974969,1,0.920926
91.796875,0.001925,0.003914,0.008649,0.004419,0.020343,0.028271,0.028087,0.020392,0.080412,0.082025,0.08152,0.08128,0.977152,0.975366,1,0.918142
92.1875,0.000679,0.003407,0.008913,0.001242,0.036133,0.033491,0.033752,0.036423,0.084943,0.083742,0.086009,0.084423,0.978289,0.976055,1,0.921938
92.578125,0.002197,0.002101,0.004008,0.000872,0.028577,0.031082,0.030891,0.028494,0.07314,0.071594,0.071769,0.071597,0.977017,0.974183,1,0.916569
92.96875,0.002841,0.001516,0.005585,0.000344,0.037284,0.044178,0.044154,0.036776,0.079421,0.076899,0.080055,0.078177,0.976893,0.974541,1,0.915842
93.359375,0.003575,0.005764,0.005708,0.001404,0.038735,0.039749,0.039536,0.03879,0.089273,0.087484,0.088725,0.088161,0.977847,0.975382,1,0.919371
93.75,0.002251,0.002734,0.00335,0.00004773045,0.030864,0.037488,0.037011,0.030377,0.079874,0.078651,0.078707,0.077809,0.976865,0.975037,1,0.917581
94.140625,0.00332,0.005252,0.004693,0.001094,0.034288,0.031984,0.032062,0.034005,0.077216,0.074519,0.075256,0.075069,0.976781,0.974662,1,0.917956
94.53125,0.003812,0.00335,0.003876,0.002089,0.034983,0.035423,0.035236,0.034754,0.076039,0.076043,0.076237,0.076427,0.977295,0.975402,1,0.919826
94.921875,0.002651,0.004611,0.00772,0.003005,0.041959,0.039569,0.040011,0.041949,0.087788,0.086814,0.087311,0.087156,0.976432,0.974399,1,0.916018
95.3125,0.002472,0.002907,0.006287,0.003916,0.035904,0.03992,0.040129,0.036099,0.090963,0.091089,0.091542,0.091746,0.976303,0.973362,1,0.9166
95.703125,0.002624,0.002576,0.010315,0.002719,0.044541,0.044426,0.044451,0.044025,0.110781,0.108881,0.112615,0.110439,0.976517,0.97348,1,0.91862
96.09375,0.004825,0.003171,0.011177,0.003663,0.044643,0.04413,0.043442,0.044257,0.09793,0.096858,0.099711,0.098326,0.976672,0.973957,1,0.919506
96.484375,0.004567,0.003986,0.00785,0.000939,0.041718,0.042913,0.042549,0.041394,0.085894,0.084329,0.087606,0.086157,0.976681,0.973411,1,0.918776
96.875,0.003619,0.00184,0.013949,0.006812,0.041568,0.04054,0.040194,0.041546,0.091703,0.0894,0.095299,0.092463,0.976749,0.973289,1,0.917252
97.265625,0.003734,0.001822,0.006607,0.002586,0.051467,0.05005,0.049469,0.051643,0.095878,0.094815,0.097534,0.095427,0.976562,0.973855,1,0.918638
97.65625,0.000957,0.002793,0.003875,0.004762,0.047892,0.052736,0.052222,0.047828,0.091781,0.090994,0.093689,0.092436,0.97701,0.974489,1,0.920735
98.046875,0.001561,0.002033,0.00301,0.003419,0.03405,0.036669,0.036972,0.034208,0.092136,0.091695,0.09298,0.093261,0.977309,0.975395,1,0.924179
98.4375,0.001484,0.003504,0.006026,0.006647,0.038196,0.043427,0.043818,0.038487,0.091015,0.089504,0.091788,0.09005,0.976002,0.974462,1,0.918305
98.828125,0.003505,0.005054,0.005736,0.003458,0.051774,0.056493,0.056119,0.051824,0.093474,0.09237,0.093583,0.092306,0.976642,0.973435,1,0.919517
99.21875,0.003259,0.001116,0.008968,0.001408,0.050975,0.055919,0.055721,0.050817,0.106065,0.103838,0.106071,0.105065,0.976428,0.97402,1,0.923033
99.609375,0.000507,0.002807,0.007498,0.000666,0.061051,0.05585,0.056087,0.060215,0.105144,0.103861,0.104662,0.104071,0.975294,0.972812,1,0.918721
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
