Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
54.6875,0.001145,0.035718,0.031095,0.035239,0.139839,0.188751,1,0.009446,0.00516,0.040314,0.023951,0.00216,0.032424,0.017998,0.16239,0.122408
55.078125,0.013604,0.040876,0.027251,0.180084,0.1884,0.260581,1,0.063239,0.013296,0.008872,0.053704,0.023832,0.043519,0.094624,0.09368,0.013233
55.46875,0.093326,0.119978,0.035076,0.075542,0.01394,0.389025,1,0.035367,0.110064,0.062542,0.0918,0.109794,0.037722,0.088178,0.062063,0.071642
55.859375,0.039844,0.078968,0.006285,0.05182,0.136098,0.517252,1,0.091552,0.072688,0.062315,0.061162,0.077532,0.110717,0.140147,0.087436,0.019378
56.25,0.023807,0.072274,0.099358,0.153125,0.116259,0.460597,1,0.055311,0.013154,0.040976,0.027102,0.037066,0.025142,0.045432,0.136946,0.042073
56.640625,0.044529,0.040042,0.006444,0.017771,0.031043,0.034659,1,0.195824,0.002258,0.000963,0.038646,0.003563,0.012874,0.070666,0.088568,0.013372
57.03125,0.082612,0.041707,0.110395,0.026096,0.078804,0.133699,1,0.050996,0.040036,0.052654,0.053977,0.0271,0.024561,0.086738,0.103831,0.076964
57.421875,0.022588,0.125427,0.057619,0.009382,0.119699,0.121909,1,0.048072,0.185452,0.141337,0.212884,0.098531,0.097599,0.049671,0.037491,0.00525
57.8125,0.135364,0.241227,0.014008,0.051224,0.034919,0.272699,1,0.0656,0.172849,0.09963,0.260727,0.110961,0.066348,0.042101,0.047176,0.01104
58.203125,0.062834,0.042874,0.081445,0.091604,0.056726,0.156077,1,0.039674,0.115053,0.0577,0.158006,0.080945,0.115055,0.183234,0.09859,0.184861
58.59375,0.079142,0.018469,0.003539,0.05831,0.08595,0.186384,1,0.122384,0.170494,0.043179,0.154904,0.140648,0.153556,0.139892,0.09266,0.228766
58.984375,0.092301,0.085462,0.030113,0.031205,0.214493,0.233011,1,0.132752,0.069353,0.041908,0.023411,0.102408,0.103797,0.031887,0.115937,0.062337
59.375,0.185762,0.091343,0.122309,0.171093,0.058878,0.16647,1,0.052818,0.043528,0.081109,0.023453,0.027169,0.040571,0.10981,0.068638,0.137143
59.765625,0.212644,0.196019,0.093124,0.048641,0.124283,0.24068,1,0.079431,0.033661,0.037489,0.035654,0.047576,0.0472,0.196867,0.132446,0.117673
60.15625,0.039028,0.142332,0.0872,0.023832,0.155401,0.192107,1,0.051794,0.05312,0.063267,0.045724,0.111146,0.127758,0.052723,0.018552,0.064325
60.546875,0.239364,0.119103,0.049341,0.098801,0.197447,0.114859,1,0.03232,0.181923,0.036528,0.116006,0.210466,0.007092,0.260884,0.168142,0.270047
60.9375,0.060545,0.050522,0.033573,0.032759,0.203239,0.032046,1,0.026001,0.372299,0.089374,0.261677,0.220141,0.039954,0.062549,0.0709,0.03381
61.328125,0.073808,0.081555,0.065821,0.043789,0.258349,0.20144,1,0.077681,0.143898,0.02282,0.04194,0.238246,0.074663,0.073806,0.04256,0.049415
61.71875,0.054166,0.035025,0.027303,0.032965,0.113292,0.115781,1,0.056448,0.009351,0.052468,0.010447,0.091698,0.023431,0.032839,0.034827,0.031528
62.109375,0.122883,0.02243,0.150839,0.080677,0.097941,0.02967,1,0.17176,0.050855,0.110802,0.095243,0.043699,0.109003,0.059808,0.098085,0.122391
62.5,0.011319,0.117357,0.028977,0.032914,0.039326,0.32823,1,0.020219,0.05796,0.235382,0.181138,0.029837,0.062055,0.041235,0.090419,0.079684
62.890625,0.032352,0.064257,0.020854,0.087344,0.147884,0.213747,1,0.003158,0.012543,0.039295,0.032828,0.062078,0.01377,0.06227,0.07533,0.072446
63.28125,0.017513,0.028564,0.062189,0.037874,0.290237,0.087277,1,0.0021,0.010012,0.000684,0.014531,0.033764,0.001276,0.020675,0.057144,0.05756
63.671875,0.016789,0.043456,0.054584,0.080524,0.386806,0.238129,1,0.099193,0.044021,0.004703,0.044887,0.102736,0.00212,0.031365,0.024147,0.014201
64.0625,0.084131,0.019862,0.055253,0.10128,0.259222,0.274124,1,0.087384,0.007958,0.01888,0.00844,0.033434,0.076782,0.052086,0.070154,0.073956
64.453125,0.018112,0.088835,0.100079,0.042629,0.203252,0.24133,1,0.023618,0.011944,0.026329,0.017697,0.000747,0.130222,0.082799,0.165935,0.237722
64.84375,0.102771,0.026241,0.136929,0.047616,0.076786,0.005613,1,0.114447,0.022579,0.042493,0.05388,0.022026,0.067241,0.069808,0.016183,0.041036
